year,meeting_number,start_date,end_date,has_sep,notes
2021,1,2021-01-26,2021-01-27,No,Jan meeting
2021,2,2021-03-16,2021-03-17,Yes,Mar meeting
2021,3,2021-04-27,2021-04-28,No,Apr meeting
2021,4,2021-06-15,2021-06-16,Yes,Jun meeting
2021,5,2021-07-27,2021-07-28,No,Jul meeting
2021,6,2021-09-21,2021-09-22,Yes,Sep meeting
2021,7,2021-11-02,2021-11-03,No,Nov meeting
2021,8,2021-12-14,2021-12-15,Yes,Dec meeting
2022,1,2022-01-25,2022-01-26,No,Jan meeting
2022,2,2022-03-15,2022-03-16,Yes,Mar meeting
2022,3,2022-05-03,2022-05-04,No,May meeting
2022,4,2022-06-14,2022-06-15,Yes,Jun meeting
2022,5,2022-07-26,2022-07-27,No,Jul meeting
2022,6,2022-09-20,2022-09-21,Yes,Sep meeting
2022,7,2022-11-01,2022-11-02,No,Nov meeting
2022,8,2022-12-13,2022-12-14,Yes,Dec meeting
2023,1,2023-01-31,2023-02-01,No,Jan-Feb meeting
2023,2,2023-03-21,2023-03-22,Yes,Mar meeting
2023,3,2023-05-02,2023-05-03,No,May meeting
2023,4,2023-06-13,2023-06-14,Yes,Jun meeting
2023,5,2023-07-25,2023-07-26,No,Jul meeting
2023,6,2023-09-19,2023-09-20,Yes,Sep meeting
2023,7,2023-10-31,2023-11-01,No,Oct-Nov meeting
2023,8,2023-12-12,2023-12-13,Yes,Dec meeting
2024,1,2024-01-30,2024-01-31,No,Jan meeting
2024,2,2024-03-19,2024-03-20,Yes,Mar meeting
2024,3,2024-04-30,2024-05-01,No,Apr-May meeting
2024,4,2024-06-11,2024-06-12,Yes,Jun meeting
2024,5,2024-07-30,2024-07-31,No,Jul meeting
2024,6,2024-09-17,2024-09-18,Yes,Sep meeting
2024,7,2024-11-06,2024-11-07,No,Nov meeting
2024,8,2024-12-17,2024-12-18,Yes,Dec meeting
2025,1,2025-01-28,2025-01-29,No,Jan meeting
2025,2,2025-03-18,2025-03-19,Yes,Mar meeting
2025,3,2025-05-06,2025-05-07,No,May meeting
2025,4,2025-06-17,2025-06-18,Yes,Jun meeting
2025,5,2025-07-29,2025-07-30,No,Jul meeting
2025,6,2025-09-16,2025-09-17,Yes,Sep meeting
2025,7,2025-10-28,2025-10-29,No,Oct meeting
2025,8,2025-12-09,2025-12-10,Yes,Dec meeting
2026,1,2026-01-27,2026-01-28,No,Jan meeting
2026,2,2026-03-17,2026-03-18,Yes,Mar meeting
2026,3,2026-04-28,2026-04-29,No,Apr meeting
2026,4,2026-06-16,2026-06-17,Yes,Jun meeting
2026,5,2026-07-28,2026-07-29,No,Jul meeting
2026,6,2026-09-15,2026-09-16,Yes,Sep meeting
2026,7,2026-10-27,2026-10-28,No,Oct meeting
2026,8,2026-12-08,2026-12-09,Yes,Dec meeting
2027,1,2027-01-26,2027-01-27,No,Jan meeting
2027,2,2027-03-16,2027-03-17,Yes,Mar meeting
2027,3,2027-04-27,2027-04-28,No,Apr meeting
2027,4,2027-06-08,2027-06-09,Yes,Jun meeting
2027,5,2027-07-27,2027-07-28,No,Jul meeting
2027,6,2027-09-14,2027-09-15,Yes,Sep meeting
2027,7,2027-10-26,2027-10-27,No,Oct meeting
2027,8,2027-12-07,2027-12-08,Yes,Dec meeting
