meeting_date,decision,change_bp,target_rate_or_range,cumulative_change_since_2003
2026-07-29,Hold,0,3.50-3.75,-25
2026-06-17,Hold,0,3.50-3.75,-25
2026-04-29,Hold,0,3.50-3.75,-25
2026-03-18,Hold,0,3.50-3.75,-25
2026-01-28,Hold,0,3.50-3.75,-25
2025-12-10,Cut,-25,3.50-3.75,-25
2025-10-29,Cut,-25,3.75-4.00,-50
2025-09-17,Cut,-25,4.00-4.25,-75
2025-07-30,Hold,0,4.25-4.50,-75
2025-06-18,Hold,0,4.25-4.50,-75
2025-05-07,Hold,0,4.25-4.50,-75
2025-03-19,Hold,0,4.25-4.50,-75
2025-01-29,Hold,0,4.25-4.50,-75
2024-12-18,Cut,-25,4.25-4.50,-100
2024-11-07,Cut,-25,4.50-4.75,-125
2024-09-18,Cut,-50,4.75-5.00,-175
2024-07-31,Hold,0,5.25-5.50,-175
2024-06-12,Hold,0,5.25-5.50,-175
2024-05-01,Hold,0,5.25-5.50,-175
2024-03-20,Hold,0,5.25-5.50,-175
2024-01-31,Hold,0,5.25-5.50,-175
2023-12-13,Hold,0,5.25-5.50,-175
2023-11-01,Hold,0,5.25-5.50,-175
2023-09-20,Hold,0,5.25-5.50,-175
2023-07-26,Hike,25,5.25-5.50,-150
2023-06-14,Hold,0,5.00-5.25,-150
2023-05-03,Hike,25,5.00-5.25,-125
2023-03-22,Hike,25,4.75-5.00,-100
2023-02-01,Hike,25,4.50-4.75,-75
2022-12-14,Hike,50,4.25-4.50,-25
2022-11-02,Hike,75,3.75-4.00,50
2022-09-21,Hike,75,3.00-3.25,125
2022-07-27,Hike,75,2.25-2.50,200
2022-06-15,Hike,75,1.50-1.75,275
2022-05-04,Hike,50,0.75-1.00,325
2022-03-16,Hike,25,0.25-0.50,350
2022-01-26,Hold,0,0.00-0.25,350
2021-12-15,Hold,0,0.00-0.25,350
2021-11-03,Hold,0,0.00-0.25,350
2021-09-22,Hold,0,0.00-0.25,350
2021-07-28,Hold,0,0.00-0.25,350
2021-06-16,Hold,0,0.00-0.25,350
2021-04-28,Hold,0,0.00-0.25,350
2021-03-17,Hold,0,0.00-0.25,350
2021-01-27,Hold,0,0.00-0.25,350
2020-12-16,Hold,0,0.00-0.25,350
